sub,story,segment,segment_count,segment_num,base_segment,segment_pair,condition,cond_direction,cond_amount,target_points,e_total,e_target,res_1_simi_info_z,res_1_MD_sub_z,segment_count_demean,segment_num_demean
0525-2,3,3_02,1.0,2,3_01,3_01-02,p0,f,p0/r0,4.0,2.0,0.0,0.3552482824148789,0.4084394610189777,-5.5,-5
0525-2,3,3_02,1.0,2,3_01,3_01-02,p,f,p/r,4.0,3.0,0.0,0.4584254564559183,0.4975976475958237,-5.5,-5
0526-2,3,3_02,1.0,2,3_01,3_01-02,p0,f,p0/r0,4.0,2.0,0.0,0.2865699742750318,0.4042641921950264,-5.5,-5
0526-2,3,3_02,1.0,2,3_01,3_01-02,p,f,p/r,4.0,2.0,0.0,0.51347983193763,0.5793498695810929,-5.5,-5
0527-1,3,3_02,1.0,2,3_01,3_01-02,p0,f,p0/r0,4.0,4.0,0.0,0.5313676261924997,0.5883261757359923,-5.5,-5
0527-1,3,3_02,1.0,2,3_01,3_01-02,p,f,p/r,4.0,2.0,0.0,0.5729298610647057,0.6340048058365109,-5.5,-5
0528-1,3,3_02,1.0,2,3_01,3_01-02,p0,f,p0/r0,4.0,2.5,0.5,0.4209409555973521,0.655340021816552,-5.5,-5
0528-1,3,3_02,1.0,2,3_01,3_01-02,p,f,p/r,4.0,1.5,0.5,0.6199338299423612,0.6038000373157982,-5.5,-5
0608-1,3,3_02,1.0,2,3_01,3_01-02,p0,f,p0/r0,4.0,2.0,0.0,0.1867428431072443,0.526549601521261,-5.5,-5
0608-1,3,3_02,1.0,2,3_01,3_01-02,p,f,p/r,4.0,2.0,0.0,0.3646580651548399,0.5289381278867128,-5.5,-5
0608-2,3,3_02,1.0,2,3_01,3_01-02,p0,f,p0/r0,4.0,4.0,0.0,0.4967389524008426,0.66904480873726,-5.5,-5
0608-2,3,3_02,1.0,2,3_01,3_01-02,p,f,p/r,4.0,3.0,0.0,0.5721816184355974,0.7216349497224264,-5.5,-5
0611-1,3,3_02,1.0,2,3_01,3_01-02,p0,f,p0/r0,4.0,4.0,0.0,0.5047346578558743,0.5887775226866626,-5.5,-5
0611-1,3,3_02,1.0,2,3_01,3_01-02,p,f,p/r,4.0,5.0,0.0,0.6478778322537678,0.6919596470737772,-5.5,-5
0612-2,3,3_02,1.0,2,3_01,3_01-02,p0,f,p0/r0,4.0,4.0,0.0,0.3865248714002895,0.5826108556065639,-5.5,-5
0612-2,3,3_02,1.0,2,3_01,3_01-02,p,f,p/r,4.0,2.0,0.0,0.4250707850488717,0.427915264595506,-5.5,-5
0614-1,3,3_02,1.0,2,3_01,3_01-02,p0,f,p0/r0,4.0,5.0,0.0,0.4052374751314445,0.6249145960061661,-5.5,-5
0615-2,3,3_02,1.0,2,3_01,3_01-02,p0,f,p0/r0,4.0,4.0,0.0,0.2634831748348658,0.6260066336646276,-5.5,-5
0615-2,3,3_02,1.0,2,3_01,3_01-02,p,f,p/r,4.0,4.0,0.0,0.6631074726634775,0.6635122786595077,-5.5,-5
0615-3,3,3_02,1.0,2,3_01,3_01-02,p0,f,p0/r0,4.0,4.0,0.0,0.3577529721164497,0.6461542421375759,-5.5,-5
0615-3,3,3_02,1.0,2,3_01,3_01-02,p,f,p/r,4.0,6.0,0.0,0.6517344058983924,0.713408862233518,-5.5,-5
0619-2,3,3_02,1.0,2,3_01,3_01-02,p0,f,p0/r0,4.0,2.0,0.0,0.4424325070725601,0.3944357370392333,-5.5,-5
0619-2,3,3_02,1.0,2,3_01,3_01-02,p,f,p/r,4.0,3.0,0.0,0.648175010746913,0.5825628746228884,-5.5,-5
0629-1,3,3_02,1.0,2,3_01,3_01-02,p0,f,p0/r0,4.0,3.0,0.0,0.2391015810653975,0.5446914558997306,-5.5,-5
0629-1,3,3_02,1.0,2,3_01,3_01-02,p,f,p/r,4.0,1.0,0.0,0.4921021571286869,0.6069669132282512,-5.5,-5
0522-1,3,3_03,10.0,3,3_04,3_03-04,r0,b,p0/r0,7.5,0.0,0.0,0.3601353498197346,0.4019055714453488,3.5,-4
0522-1,3,3_03,10.0,3,3_04,3_03-04,r,b,p/r,7.5,1.5,1.5,0.4654825194647138,0.5014339698331223,3.5,-4
0522-3,3,3_03,10.0,3,3_04,3_03-04,r0,b,p0/r0,7.5,3.0,0.0,0.4948436119393705,0.5720007792022987,3.5,-4
0522-3,3,3_03,10.0,3,3_04,3_03-04,r,b,p/r,7.5,2.5,2.5,0.7248716835301965,0.5931326003667982,3.5,-4
0523-2,3,3_03,10.0,3,3_04,3_03-04,r0,b,p0/r0,7.5,1.5,1.5,0.4760697230863687,0.281215662070758,3.5,-4
0523-2,3,3_03,10.0,3,3_04,3_03-04,r,b,p/r,7.5,1.5,1.5,0.4760697230863687,0.5474160328123302,3.5,-4
0523-4,3,3_03,10.0,3,3_04,3_03-04,r0,b,p0/r0,7.5,3.0,0.0,0.5758807127047114,0.6564514897212833,3.5,-4
0523-4,3,3_03,10.0,3,3_04,3_03-04,r,b,p/r,7.5,3.5,1.5,0.5470405543925146,0.4869569567555066,3.5,-4
