sub,condition,story,segment,segment_count,base_segment,base_seg_num,ref_seg_num,ref_step_base,ref_step_base_abs,ref_seg_type,main_or_gap,refer_boost_type,refer_boost_type_tri,total_count,total_points,total_hits,base_refer_seg_pair,segment_count_demean,ref_step_base_abs_demean
0116-1,p0,1,1_06,5,1_05,5,10.5,5.5,5.5,ahead_gap,gap,none,none,7,6.5,0.0,1_05_10.5,-0.5,2.25
0116-1,p0,1,1_06,5,1_05,5,11.0,6.0,6.0,ahead_main,main,none,none,9,9.0,0.0,1_05_11.0,-0.5,2.75
0116-1,p0,1,1_08,7,1_07,7,7.5,0.5,0.5,gap,gap,neighbor,neighbor,2,2.0,0.0,1_07_7.5,1.5,-2.75
0116-1,p0,1,1_08,7,1_07,7,8.0,1.0,1.0,target,main,referred,referred,2,1.5,1.5,1_07_8.0,1.5,-2.25
0116-1,p0,1,1_08,7,1_07,7,8.0,1.0,1.0,target,main,same_seg,neighbor,5,4.0,0.5,1_07_8.0,1.5,-2.25
0116-1,p0,1,1_08,7,1_07,7,8.5,1.5,1.5,ahead_gap,gap,neighbor,neighbor,4,3.5,0.0,1_07_8.5,1.5,-1.75
0116-1,p0,1,1_08,7,1_07,7,9.0,2.0,2.0,ahead_main,main,neighbor,neighbor,6,5.0,0.0,1_07_9.0,1.5,-1.25
0116-1,p0,1,1_08,7,1_07,7,9.5,2.5,2.5,ahead_gap,gap,none,none,1,1.0,0.0,1_07_9.5,1.5,-0.75
0116-1,p0,1,1_08,7,1_07,7,10.0,3.0,3.0,ahead_main,main,none,none,4,3.5,0.0,1_07_10.0,1.5,-0.25
0116-1,p0,1,1_08,7,1_07,7,10.5,3.5,3.5,ahead_gap,gap,none,none,7,6.5,0.0,1_07_10.5,1.5,0.25
0116-1,p0,1,1_08,7,1_07,7,11.0,4.0,4.0,ahead_main,main,none,none,9,9.0,0.0,1_07_11.0,1.5,0.75
0116-1,p0,1,1_10,9,1_09,9,9.5,0.5,0.5,gap,gap,neighbor,neighbor,1,1.0,0.0,1_09_9.5,3.5,-2.75
