story,segment_num,segment,cond_direction,condition,base_seg_num,ref_sc_num,ref_sc_hit,ref_seg_num,ref_step_base,ref_seg_type,main_or_gap,refer_type,refer_type_base_only,referring_type,rr_type,refer_list,referring_list,refer_boost_step_left,refer_boost_step_right,refer_boost_step,refer_boost_type,refer_boost_type_tri,refer_type_merge,refer_type_d,refer_type_point,refer_type_point_merge,referring_type_point,sc_point,refer_point_c,refer_point_c_merge,referring_point_c,ref_step_base_abs,color
2,6,2_06,f,p,5,552,0.0,5.5,0.5,gap,gap,indirect,referred,none,referred,[552 551 553],[ 704 1105],0.0,0.0,0.0,referred,referred,referred,none,0.5,1.0,0.0,1.0,0.5,1.0,0.0,0.5,#c7e0f1
1,2,1_02,f,p0,1,552,0.0,5.5,4.5,ahead_gap,gap,none,none,none,none,[151 152 153 155 233],[],3.5,99.0,3.5,none,none,none,none,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.5,#c7e0f1
1,3,1_03,f,p0,2,552,0.0,5.5,3.5,ahead_gap,gap,none,none,none,none,[301],[303 303 303],2.5,99.0,2.5,none,none,none,none,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.5,#c7e0f1
1,4,1_04,f,p0,3,552,0.0,5.5,2.5,ahead_gap,gap,none,none,none,none,[],[403 403],99.0,99.0,99.0,none,none,none,none,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.5,#c7e0f1
1,5,1_05,f,p0,4,552,0.0,5.5,1.5,ahead_gap,gap,none,none,none,none,[451 631],[],1.0,0.5,0.5,neighbor,neighbor,none,none,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.5,#c7e0f1
1,6,1_06,f,p0,5,552,0.0,5.5,0.5,gap,gap,none,none,none,none,[631],[702 702 702],99.0,0.5,0.5,neighbor,neighbor,none,none,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,#c7e0f1
2,2,2_02,f,p0,1,552,0.0,5.5,4.5,ahead_gap,gap,none,none,none,none,[153 151 231],[],3.5,99.0,3.5,none,none,none,none,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.5,#c7e0f1
2,3,2_03,f,p0,2,552,0.0,5.5,3.5,ahead_gap,gap,none,none,none,none,[251],[],3.0,99.0,3.0,none,none,none,none,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.5,#c7e0f1
2,4,2_04,f,p0,3,552,0.0,5.5,2.5,ahead_gap,gap,none,none,none,none,[],[ 402  704 1105],99.0,99.0,99.0,none,none,none,none,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.5,#c7e0f1
2,5,2_05,f,p0,4,552,0.0,5.5,1.5,ahead_gap,gap,none,none,none,none,[456 451 454],[ 704 1105],1.0,99.0,1.0,none,none,none,none,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.5,#c7e0f1
2,6,2_06,f,p0,5,552,0.0,5.5,0.5,gap,gap,indirect,referred,none,referred,[552 551 553],[ 704 1105],0.0,0.0,0.0,referred,referred,referred,none,0.5,1.0,0.0,1.0,0.5,1.0,0.0,0.5,#c7e0f1
1,5,1_05,b,r,6,552,0.125,5.5,-0.5,gap,gap,direct,referred,none,referred,[552 504 505 506],[405],0.0,0.0,0.0,referred,referred,referred,referred,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.5,#ffd6ae
1,6,1_06,b,r,7,552,0.0,5.5,-1.5,ahead_gap,gap,none,none,none,none,[504 505 506 632 651],[],0.5,0.5,0.5,neighbor,neighbor,none,none,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.5,#ffd6ae
